Winner,moveCount,ML,BiC,wiC,Bw,Ww,numG
Black,48,"[1, 6, 1, 5, 5, 1, 5, 3, 6, 7, 5, 5, 5, 3, 5, 4, 3, 6, 3, 5, 0, 1, 0, 2, 0, 6, 0, 4, 1, 0, 2, 2, 1, 7, 3, 6, 7, 1, 7, 3, 3, 6, 1, 7, 2, 2, 4, 3, 5, 5, 3, 4, 4, 0, 5, 1, 2, 6, 1, 5, 3, 1, 3, 2, 7, 6, 7, 4, 5, 4, 7, 5, 2, 7, 1, 6, 2, 0, 6, 4, 4, 6, 3, 5, 6, 4, 5, 3, 6, 6, 6, 5, 3, 2, 4, 3, 7, 7, 7, 5, 5, 3, 4, 2, 3, 7, 2, 6, 5, 1, 5, 2, 5, 6, 5, 5, 5, 2, 6, 2, 1, 5, 1, 4, 4, 2, 7, 5, 0, 4, 0, 3, 2, 1, 2, 2, 5, 5, 5, 4, 1, 1, 1, 2, 2, 6, 2, 7, 3, 0, 2, 0, 1, 6, 0, 5, 6, 2, 5, 2, 0, 3, 1, 2, 6, 1, 6, 2, 1, 7, 3, 6, 2, 2, 2, 3, 5, 7, 4, 6, 2, 0, 4, 0, 0, 7, 0, 6, 7, 5, 4, 2, 5, 4, 5, 3, 6, 2, 6, 3, 4, 7, 5, 7, 4, 2, 2, 0, 2, 7, 2, 3, 4, 3, 4, 4, 3, 4, 1, 5, 4, 0, 3, 1, 2, 3, 2, 6, 3, 1, 2, 1, 0, 5, 2, 7, 0, 2, 0, 3, 2, 7, 0, 5, 5, 2, 5, 1, 3, 6, 2, 4, 0, 3, 1, 4, 1, 5, 0, 3, 4, 4, 3, 5, 0, 3, 1, 5, 2, 1, 2, 4, 1, 5, 2, 7, 2, 4, 2, 6, 0, 6, 0, 7, 7, 3, 7, 4, 6, 5, 7, 4, 3, 5, 4, 6, 2, 7, 4, 6, 0, 0, 0, 4, 5, 7, 6, 7, 2, 6, 3, 6, 0, 5, 1, 6, 0, 4, 0, 6, 0, 7, 4, 7, 6, 0, 7, 2, 1, 6, 4, 3, 2, 0, 4, 2, 6, 7, 7, 7, 5, 0, 6, 1, 4, 3, 6, 1, 7, 2, 5, 3, 6, 1, 3, 4, 0, 6, 2, 6, 1, 2, 1, 1, 4, 1, 4, 3, 4, 6, 2, 5, 4, 2, 2, 4, 2, 5, 3, 7, 3, 6, 7, 6]",225,231,13,11,898
White,20,"[1, 6, 1, 5, 3, 1, 3, 2, 2, 6, 1, 5, 6, 1, 6, 2, 0, 6, 1, 5, 5, 1, 6, 2, 0, 7, 0, 4, 4, 1, 3, 2, 1, 7, 2, 5, 3, 0, 5, 2, 2, 5, 1, 3, 2, 1, 3, 2, 1, 3, 2, 1, 4, 0, 4, 1, 0, 4, 0, 3, 5, 2, 1, 6, 0, 3, 2, 3, 1, 6, 1, 7, 2, 3, 1, 3, 4, 1, 5, 1, 4, 6, 4, 5, 1, 7, 0, 6, 6, 7, 4, 6, 0, 6, 0, 7, 4, 6, 5, 4, 5, 1, 6, 1, 4, 5, 4, 4, 6, 1, 5, 1, 4, 7, 4, 6, 0, 1, 0, 2, 4, 6, 3, 5, 5, 0, 7, 2, 3, 7, 7, 3, 0, 2, 1, 3, 7, 3, 2, 3, 2, 0, 5, 3, 2, 3, 5, 3, 5, 1, 6, 1, 2, 1, 4, 2]",170,150,13,12,976
White,24,"[6, 6, 6, 4, 6, 0, 5, 2, 1, 6, 1, 4, 6, 1, 6, 2, 2, 6, 2, 5, 7, 1, 7, 3, 2, 5, 2, 4, 6, 2, 7, 3, 7, 6, 7, 5, 7, 3, 6, 4, 5, 7, 6, 6, 7, 0, 7, 1, 7, 7, 7, 6, 7, 1, 7, 3, 3, 7, 0, 4, 7, 3, 1, 3, 6, 6, 3, 3, 4, 1, 5, 2, 3, 3, 4, 4, 1, 3, 1, 2, 4, 7, 5, 7, 2, 1, 2, 2, 0, 4, 2, 6, 0, 1, 1, 2, 4, 4, 7, 1, 3, 1, 3, 2, 3, 6, 3, 5, 5, 2, 5, 3, 5, 7, 6, 6, 3, 0, 4, 1, 2, 7, 4, 5, 4, 1, 2, 1, 2, 6, 1, 6, 4, 0, 3, 1, 1, 7, 0, 5, 0, 0, 0, 3, 1, 6, 7, 0, 6, 4, 6, 5, 4, 5, 2, 7, 1, 2, 1, 3, 2, 7, 7, 2, 0, 3, 0, 0, 7, 1, 5, 3, 3, 1, 4, 0, 5, 6, 5, 5, 2, 1, 3, 1, 7, 0, 5, 0]",0,1,13,13,1000
White,27,"[2, 6, 2, 5, 4, 1, 4, 2, 0, 6, 0, 4, 6, 0, 4, 1, 1, 7, 0, 5, 4, 2, 4, 3, 3, 6, 2, 5, 4, 1, 3, 3, 6, 6, 6, 4, 3, 0, 6, 3, 3, 7, 3, 6, 5, 0, 4, 1, 3, 6, 3, 3, 6, 3, 5, 4, 0, 7, 1, 7, 4, 0, 7, 0, 3, 3, 0, 3, 5, 4, 2, 7, 1, 7, 2, 7, 6, 1, 6, 2, 2, 7, 1, 7, 4, 1, 6, 3, 4, 6, 4, 5, 1, 1, 1, 2, 0, 5, 2, 6, 0, 1, 1, 2, 0, 3, 4, 3, 2, 1, 1, 2, 4, 3, 6, 3, 2, 0, 1, 1, 5, 7, 7, 5, 6, 0, 7, 0, 4, 7, 5, 7, 5, 1, 6, 2, 6, 3, 7, 3, 5, 0, 5, 6, 5, 7, 5, 6, 1, 0, 0, 2, 7, 3, 7, 2, 0, 2, 2, 3, 7, 6, 7, 4, 1, 1, 5, 5, 7, 7, 7, 6, 5, 5, 7, 7, 7, 4, 7, 3, 0, 0, 0, 1, 2, 6, 3, 4, 7, 7, 5, 5, 3, 4, 4, 2, 0, 1, 0, 4, 7, 6, 6, 6, 0, 4, 0, 2, 7, 2, 6, 1]",144,160,13,14,1074
Black,21,"[1, 7, 0, 5, 5, 1, 5, 3, 4, 6, 4, 4, 7, 1, 7, 2, 3, 7, 6, 4, 7, 0, 7, 1, 6, 7, 5, 5, 0, 1, 0, 2, 6, 4, 5, 4, 1, 0, 2, 2, 5, 4, 2, 1, 6, 1, 6, 2, 7, 7, 6, 7, 6, 2, 5, 3, 2, 1, 6, 5, 5, 0, 6, 1, 5, 5, 4, 3, 7, 2, 7, 3, 4, 4, 5, 3, 3, 1, 3, 3, 4, 7, 4, 6, 0, 0, 1, 0, 6, 5, 1, 5, 1, 1, 1, 2, 1, 5, 1, 3, 3, 0, 3, 2, 4, 6, 3, 5, 0, 2, 0, 3, 1, 3, 1, 4, 4, 0, 3, 0, 7, 6, 7, 5, 3, 2, 1, 4, 4, 3, 3, 1, 6, 1, 1, 6, 3, 6, 3, 4, 1, 6, 0, 5, 2, 7, 5, 4, 2, 2, 3, 4, 5, 4, 4, 5, 3, 0, 2, 1, 3, 1, 5, 0, 2, 0, 5, 3]",48,35,14,14,1117
White,28,"[0, 6, 0, 5, 5, 1, 5, 2, 3, 6, 3, 4, 6, 1, 6, 2, 5, 6, 5, 4, 0, 1, 0, 2, 3, 7, 3, 5, 4, 1, 4, 3, 6, 6, 6, 4, 5, 2, 4, 3, 5, 4, 5, 3, 6, 0, 4, 1, 3, 5, 3, 7, 1, 1, 0, 2, 2, 7, 7, 2, 0, 0, 0, 1, 7, 2, 5, 4, 6, 2, 6, 3, 4, 7, 5, 6, 7, 1, 7, 2, 5, 4, 4, 3, 2, 1, 2, 2, 1, 6, 0, 5, 3, 0, 0, 3, 3, 7, 3, 6, 2, 2, 2, 3, 3, 4, 2, 3, 4, 1, 6, 2, 3, 6, 3, 5, 0, 3, 1, 3, 4, 3, 2, 1, 4, 0, 4, 1, 4, 6, 4, 5, 1, 3, 2, 2, 5, 7, 6, 6, 4, 1, 4, 0, 7, 6, 7, 5, 7, 0, 6, 0, 5, 6, 6, 5, 6, 2, 5, 4, 5, 3, 5, 2, 3, 1, 2, 2, 6, 6, 5, 7, 5, 4, 6, 6, 2, 6, 2, 5, 2, 0, 4, 2, 7, 5, 7, 4, 6, 0, 6, 1, 7, 4, 6, 3, 6, 1, 6, 0, 7, 7, 7, 5, 4, 2, 2, 4, 6, 7, 5, 5, 2, 4, 5, 1, 3, 5, 3, 0]",57,42,14,15,1122
White,47,"[3, 6, 3, 4, 7, 1, 7, 3, 4, 6, 4, 4, 7, 3, 7, 4, 6, 6, 6, 5, 3, 1, 3, 2, 3, 7, 3, 5, 6, 0, 5, 2, 6, 7, 4, 6, 4, 1, 5, 2, 3, 5, 3, 6, 7, 4, 4, 5, 1, 6, 1, 5, 6, 1, 6, 2, 3, 4, 3, 3, 2, 0, 7, 5, 5, 7, 7, 5, 1, 0, 2, 2, 1, 5, 1, 4, 7, 0, 7, 1, 7, 5, 6, 6, 2, 2, 1, 4, 4, 6, 6, 7, 0, 0, 1, 0, 5, 6, 4, 5, 1, 4, 3, 5, 4, 7, 3, 7, 1, 1, 1, 2, 7, 6, 6, 5, 4, 0, 4, 1, 7, 7, 7, 3, 7, 1, 7, 2, 2, 7, 1, 6, 1, 0, 0, 0, 4, 5, 4, 4, 3, 5, 2, 7, 1, 6, 3, 4, 0, 0, 1, 0, 4, 4, 3, 3, 1, 0, 0, 0, 6, 6, 5, 5, 0, 0, 2, 0, 3, 6, 4, 7, 4, 1, 3, 1, 1, 7, 0, 5, 2, 0, 0, 0, 7, 3, 7, 5, 2, 1, 3, 2, 4, 7, 1, 4, 0, 1, 1, 2, 0, 5, 2, 4, 7, 2, 7, 0, 1, 4, 4, 7, 5, 0, 6, 1, 7, 5, 7, 7, 7, 0, 4, 0, 4, 7, 5, 6, 4, 0, 4, 1, 7, 7, 7, 0, 3, 0, 1, 0, 5, 5, 6, 4, 3, 1, 2, 1, 5, 6, 7, 6, 0, 0, 0, 4, 6, 4, 2, 0, 6, 2, 6, 3, 7, 6, 6, 6, 1, 0, 2, 0, 2, 4, 4, 3, 4, 1, 4, 0, 6, 6, 4, 4, 5, 2, 6, 3, 0, 7, 1, 7, 0, 4, 0, 1, 1, 7, 1, 4, 0, 1, 0, 5, 4, 4, 6, 2, 4, 0, 4, 2, 7, 0, 7, 4, 0, 5, 0, 0, 1, 4, 2, 4, 2, 1, 3, 0, 2, 4, 2, 1, 6, 1, 4, 3, 6, 2, 5, 1, 2, 0, 0, 2, 0, 6, 0, 5, 0, 2, 3, 5, 3, 7, 2, 7, 0, 0, 2, 0, 3, 4, 2, 5, 6, 3, 7, 4, 5, 1, 3, 1]",89,76,14,16,1141
Black,24,"[6, 7, 5, 5, 1, 0, 0, 2, 5, 5, 7, 4, 4, 1, 4, 2, 2, 6, 2, 4, 0, 2, 1, 4, 1, 7, 0, 5, 5, 0, 3, 2, 7, 7, 6, 7, 3, 2, 5, 4, 0, 5, 2, 6, 1, 4, 0, 6, 3, 6, 3, 4, 5, 4, 4, 3, 5, 6, 5, 4, 6, 1, 6, 2, 7, 4, 5, 5, 5, 1, 5, 2, 3, 4, 3, 3, 4, 3, 3, 4, 7, 6, 7, 4, 3, 4, 1, 6, 2, 4, 3, 3, 4, 2, 4, 3, 2, 6, 0, 5, 6, 0, 7, 2, 3, 7, 3, 6, 7, 2, 5, 1, 4, 6, 5, 5, 4, 3, 5, 4, 3, 6, 4, 5, 4, 0, 5, 0, 5, 7, 1, 3, 5, 1, 3, 2, 7, 4, 7, 3, 3, 2, 2, 4, 4, 5, 4, 0, 3, 0, 4, 0, 2, 7, 4, 5, 7, 1, 6, 2, 0, 5, 2, 6, 6, 2, 6, 3, 4, 7, 5, 7, 4, 0, 4, 5, 2, 6, 3, 4, 5, 2, 6, 3, 3, 4, 2, 2, 2, 4, 3, 6]",109,101,15,16,1151
White,43,"[1, 7, 2, 5, 6, 1, 6, 3, 3, 6, 3, 5, 7, 1, 7, 2, 6, 6, 6, 4, 5, 0, 6, 1, 2, 5, 4, 4, 6, 0, 5, 2, 7, 6, 7, 5, 3, 1, 3, 3, 5, 6, 5, 4, 2, 1, 2, 2, 4, 7, 5, 6, 3, 3, 4, 4, 3, 5, 3, 4, 4, 1, 4, 3, 1, 6, 1, 4, 7, 0, 7, 1, 2, 7, 4, 5, 3, 0, 4, 1, 3, 7, 3, 5, 1, 1, 2, 2, 0, 6, 0, 4, 4, 1, 3, 2, 0, 7, 0, 5, 3, 2, 3, 4, 4, 5, 3, 4, 5, 2, 3, 3, 2, 6, 2, 4, 4, 4, 3, 5, 0, 5, 0, 7, 4, 0, 4, 1, 5, 7, 6, 6, 0, 1, 0, 2, 0, 7, 4, 7, 3, 3, 1, 2, 5, 4, 4, 3, 2, 2, 2, 3, 6, 6, 3, 3, 2, 0, 5, 3, 4, 3, 6, 2, 3, 5, 4, 6, 3, 3, 4, 2, 4, 1, 5, 0, 6, 2, 7, 1, 6, 1, 5, 2, 4, 7, 2, 7, 5, 3, 6, 4, 3, 4, 4, 5, 5, 0, 6, 1, 4, 2, 3, 1, 1, 2, 2, 4, 5, 6, 6, 6, 1, 0, 2, 2, 4, 5, 2, 3, 5, 2, 2, 5, 2, 7, 2, 6, 2, 2, 1, 4, 6, 7, 5, 5, 1, 4, 2, 2, 7, 7, 0, 7, 0, 0, 0, 1, 2, 3, 0, 5, 2, 5, 3, 6, 0, 5, 4, 1, 2, 4, 3, 2, 5, 5, 4, 7, 2, 2, 1, 4, 4, 1, 3, 0, 1, 4, 0, 6, 3, 0, 2, 1, 3, 6, 5, 4, 0, 7, 1, 7, 6, 4, 5, 3, 2, 6, 4, 6, 6, 1, 5, 0, 2, 1, 3, 0, 5, 0, 6, 0, 3, 1, 2, 2, 3, 2, 1, 1, 2, 2, 3, 3, 6, 0, 6, 1, 3, 0, 5, 2, 6, 1, 6, 0, 7, 1, 7, 0]",197,173,15,17,1187
White,44,"[5, 6, 5, 5, 5, 1, 5, 2, 4, 6, 4, 4, 7, 1, 7, 3, 1, 6, 1, 5, 4, 0, 5, 1, 0, 6, 0, 5, 1, 0, 0, 2, 7, 6, 7, 4, 0, 2, 1, 0, 5, 7, 3, 5, 3, 0, 4, 0, 2, 7, 1, 6, 0, 1, 0, 2, 4, 7, 5, 7, 2, 1, 2, 2, 1, 6, 5, 2, 5, 1, 4, 2, 5, 5, 5, 4, 1, 1, 2, 2, 6, 6, 6, 5, 4, 1, 5, 2, 3, 6, 3, 4, 4, 2, 3, 3, 0, 5, 0, 4, 5, 0, 0, 5, 1, 5, 1, 4, 5, 2, 5, 3, 5, 7, 4, 7, 4, 0, 4, 3, 3, 5, 0, 2, 6, 1, 6, 3, 0, 7, 0, 6, 3, 3, 4, 4, 7, 7, 7, 6, 4, 3, 3, 4, 3, 7, 2, 7, 3, 4, 4, 3, 2, 7, 1, 6, 4, 4, 5, 5, 7, 6, 4, 6, 5, 5, 6, 6, 1, 6, 2, 5, 7, 0, 7, 2, 2, 5, 5, 5, 6, 6, 6, 7, 4, 6, 4, 5, 7, 2, 5, 2, 4, 7, 3, 7, 5, 2, 5, 1, 1, 7, 3, 6, 2, 0, 1, 1, 4, 5, 4, 6, 0, 5, 1, 4, 5, 5, 2, 2, 1, 1, 2, 0, 2, 2, 2, 0, 4, 3, 4, 1, 2, 0, 2, 3, 4, 1, 4, 5, 4, 6, 5, 6, 1, 0, 2, 2, 5, 6, 7, 6, 0, 0, 4, 0, 2, 3, 1, 3, 4, 5, 1, 2, 1, 3, 2, 3, 2, 2, 3, 4, 2, 3, 1, 3, 1, 4, 3, 6, 1, 3, 5, 3, 1, 2, 3, 0, 6, 5, 6, 4, 3, 6, 4, 7, 5, 3, 5, 1, 7, 3, 6, 4, 0, 6, 0, 5, 6, 4, 7, 5, 5, 1, 4, 2, 3, 0, 2, 1, 4, 2, 7, 2, 3, 4, 4, 6, 0, 5, 4, 5, 4, 0, 1, 0, 7, 2, 7, 5, 1, 0, 1, 1, 7, 5, 6, 6]",35,45,15,18,1317
Black,28,"[2, 6, 2, 5, 6, 1, 6, 3, 7, 6, 7, 4, 1, 0, 0, 2, 4, 6, 4, 4, 7, 1, 7, 2, 3, 7, 1, 5, 4, 1, 4, 3, 5, 7, 3, 5, 2, 1, 2, 2, 6, 7, 5, 5, 3, 1, 3, 2, 1, 5, 3, 7, 3, 2, 3, 3, 4, 7, 7, 7, 2, 0, 3, 1, 4, 4, 3, 3, 0, 2, 1, 0, 3, 7, 4, 7, 5, 0, 3, 2, 6, 7, 7, 6, 3, 1, 6, 4, 4, 7, 4, 6, 3, 0, 4, 1, 1, 7, 0, 5, 2, 2, 3, 3, 3, 5, 7, 1, 5, 1, 5, 2, 4, 6, 0, 2, 1, 0, 2, 2, 0, 2, 0, 1, 5, 2, 4, 3, 0, 7, 1, 7, 6, 4, 7, 3, 7, 4, 6, 3, 6, 0, 5, 2, 0, 5, 1, 3, 7, 3, 5, 5, 6, 3, 6, 2, 5, 2, 6, 0, 7, 6, 6, 5, 3, 2, 2, 3, 0, 6, 0, 5, 4, 1, 6, 3, 6, 5, 7, 6, 2, 3, 0, 1, 1, 3, 0, 1, 2, 2, 3, 0, 7, 6, 7, 7, 6, 3, 6, 4, 1, 7, 0, 7, 1, 1, 1, 3, 6, 2, 6, 1, 6, 0, 5, 2, 5, 6, 5, 4, 6, 4, 6, 6]",47,63,16,18,1325
Black,48,"[6, 6, 6, 4, 7, 1, 7, 3, 4, 6, 4, 5, 6, 0, 7, 2, 3, 6, 3, 4, 6, 1, 6, 3, 2, 7, 3, 6, 3, 1, 3, 2, 6, 7, 7, 5, 1, 1, 1, 2, 7, 7, 6, 7, 2, 0, 6, 4, 6, 7, 6, 5, 4, 0, 3, 1, 0, 6, 0, 5, 6, 4, 5, 5, 5, 7, 6, 6, 1, 2, 1, 3, 3, 6, 0, 3, 1, 3, 1, 4, 7, 5, 6, 7, 5, 0, 6, 1, 6, 6, 7, 7, 5, 5, 3, 3, 3, 7, 3, 5, 5, 1, 5, 3, 1, 6, 0, 5, 3, 0, 4, 0, 3, 5, 1, 5, 3, 3, 5, 5, 1, 7, 2, 5, 6, 1, 5, 2, 2, 5, 3, 3, 5, 2, 3, 4, 6, 5, 6, 3, 7, 0, 5, 0, 3, 3, 5, 2, 5, 0, 5, 2, 1, 5, 1, 6, 5, 2, 5, 0, 6, 7, 7, 5, 3, 4, 7, 0, 6, 3, 6, 1, 7, 3, 7, 4, 0, 7, 1, 7, 2, 1, 2, 3, 7, 5, 6, 3, 5, 5, 3, 7, 7, 7, 2, 2, 3, 1, 2, 2, 6, 1, 6, 0, 1, 0, 0, 2, 6, 3, 7, 1, 7, 0, 1, 6, 1, 7, 1, 6, 3, 7, 2, 6, 6, 0, 6, 1, 7, 2, 6, 0, 6, 1, 6, 0, 2, 6, 1, 7, 4, 7, 4, 6, 1, 7, 0, 6, 5, 6, 4, 5, 5, 0, 6, 0, 4, 6, 5, 6, 0, 0, 3, 0, 0, 5, 0, 4, 6, 0, 6, 1, 5, 6, 4, 6, 2, 2, 1, 1, 7, 6, 7, 5, 1, 1, 2, 2, 4, 6, 5, 7, 4, 0, 6, 0, 1, 6, 3, 6, 4, 1, 4, 3, 0, 3, 1, 4, 6, 1, 6, 3, 3, 6, 7, 6, 0, 6, 4, 2, 7, 6, 0, 6, 4, 2, 0, 6, 0, 4, 0, 3, 6, 3, 6, 2, 1, 4, 2, 5, 6, 2, 6, 3, 2, 5, 3, 4, 6, 3, 6, 4, 3, 4, 1, 6, 6, 4, 6, 7, 5, 7, 5, 6, 3, 2, 4, 3, 7, 1, 5, 2, 3, 0, 3, 3, 5, 2, 7, 3, 6, 0, 6, 6]",26,31,17,18,1412
Black,28,"[4, 6, 4, 4, 1, 1, 1, 3, 2, 6, 2, 5, 2, 1, 2, 3, 6, 7, 4, 6, 4, 1, 4, 3, 4, 6, 6, 5, 7, 1, 7, 2, 3, 7, 2, 6, 1, 0, 0, 2, 1, 6, 1, 4, 2, 3, 2, 4, 7, 6, 6, 5, 5, 0, 2, 3, 1, 7, 0, 5, 6, 0, 5, 2, 2, 6, 1, 6, 5, 1, 5, 3, 0, 7, 1, 7, 5, 2, 6, 0, 0, 5, 1, 3, 0, 1, 0, 3, 7, 7, 7, 3, 2, 3, 3, 2, 1, 7, 0, 7, 2, 0, 1, 1, 0, 6, 0, 5, 2, 4, 1, 5, 1, 6, 1, 5, 0, 3, 0, 4, 5, 7, 3, 5, 6, 1, 6, 3, 3, 5, 5, 7, 3, 0, 2, 0, 1, 5, 4, 2, 3, 2, 4, 1, 2, 5, 2, 4, 1, 1, 3, 3, 5, 7, 3, 5, 0, 2, 1, 0, 0, 7, 1, 7, 3, 1, 4, 2, 1, 7, 1, 4, 4, 1, 3, 0, 3, 5, 2, 6, 7, 2, 6, 3, 7, 3, 7, 6, 4, 2, 5, 3, 2, 6, 1, 5, 2, 0, 2, 4, 1, 5, 0, 4, 2, 4, 2, 7, 0, 4, 3, 7, 3, 0, 0, 3, 4, 7, 5, 7, 2, 7, 3, 7]",88,112,18,18,1446
Black,7,"[1, 6, 1, 5, 2, 1, 2, 3, 1, 7, 2, 5, 2, 3, 2, 4, 2, 5, 0, 4, 2, 4, 2, 5, 5, 6, 5, 5, 7, 1, 7, 3, 0, 4, 2, 3, 4, 1, 4, 3, 6, 6, 6, 4, 5, 1, 5, 3, 6, 4, 5, 3, 3, 0, 7, 4]",110,145,19,18,1460
Black,41,"[1, 6, 1, 4, 2, 1, 2, 2, 2, 7, 0, 5, 2, 2, 2, 3, 4, 6, 4, 5, 7, 1, 7, 2, 3, 6, 4, 5, 1, 0, 0, 2, 3, 7, 3, 4, 3, 1, 3, 2, 5, 6, 5, 5, 7, 0, 7, 1, 5, 7, 2, 4, 6, 1, 6, 2, 4, 5, 3, 4, 5, 1, 6, 2, 6, 6, 5, 5, 2, 0, 7, 5, 0, 6, 0, 4, 7, 1, 7, 0, 6, 7, 7, 5, 0, 2, 2, 1, 2, 4, 1, 3, 4, 0, 5, 1, 0, 5, 1, 6, 2, 1, 1, 3, 1, 7, 3, 6, 3, 0, 1, 2, 3, 4, 2, 3, 1, 2, 0, 3, 1, 6, 3, 4, 1, 3, 3, 4, 0, 7, 3, 7, 3, 4, 2, 6, 4, 7, 5, 7, 0, 3, 1, 3, 5, 7, 6, 7, 1, 3, 5, 7, 3, 6, 5, 7, 3, 2, 2, 3, 5, 5, 5, 4, 0, 0, 3, 0, 3, 7, 3, 5, 3, 0, 3, 2, 6, 7, 6, 6, 2, 3, 2, 4, 5, 7, 3, 6, 7, 0, 7, 1, 0, 4, 0, 3, 1, 1, 1, 3, 0, 3, 0, 2, 3, 2, 3, 5, 7, 7, 2, 7, 7, 1, 6, 1, 7, 5, 6, 7, 4, 1, 4, 3, 7, 6, 7, 4, 4, 3, 4, 4, 3, 6, 1, 7, 5, 0, 4, 1, 5, 4, 5, 3, 4, 1, 3, 2, 1, 7, 3, 6, 4, 4, 3, 5, 6, 6, 5, 5, 2, 4, 2, 5, 5, 5, 6, 6, 2, 6, 4, 5, 6, 6, 7, 5, 0, 1, 0, 3, 5, 3, 6, 2, 3, 2, 6, 5, 3, 6, 1, 5, 5, 1, 5, 2, 2, 7, 5, 7, 6, 5, 5, 4, 1, 5, 2, 3, 6, 1, 6, 2, 2, 3, 4, 2, 4, 5, 5, 7, 0, 2, 0, 1, 6, 2, 6, 5]",177,199,20,18,1489
White,28,"[5, 6, 5, 4, 1, 1, 1, 3, 2, 6, 2, 5, 5, 1, 5, 3, 2, 5, 2, 4, 1, 3, 1, 4, 3, 7, 2, 6, 2, 0, 0, 2, 6, 7, 7, 5, 1, 0, 2, 2, 4, 6, 4, 4, 7, 1, 7, 3, 0, 6, 0, 4, 1, 4, 4, 5, 5, 7, 3, 5, 0, 1, 0, 3, 0, 7, 0, 5, 7, 0, 7, 1, 0, 5, 2, 5, 0, 2, 2, 4, 2, 5, 1, 5, 0, 0, 1, 0, 3, 5, 4, 6, 1, 0, 1, 3, 4, 7, 5, 6, 1, 3, 3, 3, 2, 6, 4, 4, 3, 0, 2, 0, 5, 6, 5, 5, 6, 0, 5, 2, 4, 4, 2, 6, 6, 1, 5, 2, 2, 6, 3, 5, 2, 2, 3, 0, 7, 7, 4, 7, 4, 5, 3, 6, 1, 7, 3, 6, 3, 1, 3, 2, 6, 6, 7, 5, 2, 4, 1, 5, 5, 5, 4, 4, 7, 1, 5, 1, 4, 7, 3, 7, 3, 0, 4, 2, 3, 5, 1, 5, 5, 0, 6, 1, 1, 5, 1, 0, 4, 2, 6, 3, 4, 4, 3, 3, 5, 2, 6, 3, 4, 6, 6, 4, 2, 1, 2, 3, 3, 3, 2, 4, 6, 1, 5, 2, 1, 0, 2, 0]",97,103,20,19,1549
Black,44,"[6, 6, 6, 4, 1, 1, 1, 3, 1, 6, 1, 4, 5, 1, 5, 2, 2, 6, 2, 4, 6, 0, 7, 2, 5, 6, 5, 4, 6, 1, 7, 2, 0, 6, 0, 5, 1, 0, 2, 2, 4, 6, 4, 4, 0, 1, 0, 2, 3, 7, 2, 6, 5, 0, 6, 1, 2, 6, 1, 5, 4, 0, 7, 0, 2, 4, 1, 3, 3, 1, 3, 3, 1, 5, 7, 5, 6, 1, 7, 0, 0, 5, 0, 4, 2, 2, 1, 4, 6, 7, 4, 6, 0, 0, 1, 0, 5, 7, 6, 6, 3, 3, 4, 4, 7, 5, 5, 5, 3, 0, 3, 3, 4, 6, 2, 5, 1, 4, 2, 2, 7, 7, 6, 7, 2, 0, 6, 4, 0, 4, 1, 3, 6, 4, 7, 3, 4, 7, 4, 6, 1, 0, 2, 0, 2, 5, 4, 4, 7, 3, 6, 2, 5, 5, 7, 3, 3, 3, 7, 3, 4, 6, 5, 6, 6, 2, 5, 1, 3, 6, 3, 4, 5, 1, 4, 0, 4, 4, 2, 5, 2, 1, 2, 3, 1, 7, 3, 6, 7, 3, 4, 6, 5, 6, 6, 5, 4, 6, 3, 5, 6, 5, 5, 6, 3, 5, 5, 7, 5, 6, 6, 5, 2, 0, 0, 0, 3, 6, 1, 7, 2, 2, 3, 4, 6, 6, 2, 2, 4, 1, 4, 3, 2, 2, 5, 5, 0, 0, 1, 0, 2, 5, 4, 6, 2, 3, 2, 4, 0, 7, 0, 5, 1, 0, 1, 3, 5, 5, 3, 3, 1, 3, 3, 3, 7, 6, 7, 4, 3, 3, 1, 3, 6, 7, 7, 7, 2, 4, 2, 5, 7, 4, 7, 3, 1, 3, 0, 3, 4, 6, 6, 7, 3, 4, 1, 3, 6, 5, 6, 4, 5, 7, 3, 5, 0, 5, 0, 3, 3, 5, 3, 3, 6, 4, 6, 5, 6, 0, 5, 1, 2, 7, 4, 5, 3, 3, 2, 3, 6, 5, 7, 4, 5, 0, 6, 0, 6, 7, 7, 5, 2, 3, 2, 0, 4, 5, 2, 7, 6, 0, 6, 4]",216,199,21,19,1595
